gene,mean,variance,detected_fraction
CD53,3.0942704677581787,9.992979049682617,0.5351991388589882
LGALS3BP,2.3814375400543213,9.973432540893555,0.4030139935414424
IFITM3,3.2037432193756104,9.91993522644043,0.6032292787944026
CD8A,1.8459528684616089,9.870269775390625,0.30936490850376747
S100A4,2.736070394515991,9.81394100189209,0.4703982777179763
IFI6,3.065094232559204,9.813277244567871,0.5588805166846071
LSP1,2.9397149085998535,9.733199119567871,0.5130247578040904
CD37,2.9971654415130615,9.71268081665039,0.5222820236813778
MIA,1.7256606817245483,9.711277961730957,0.25941872981700753
PSAP,4.218527793884277,9.625828742980957,0.7218514531754575
TUBA1B,3.5788512229919434,9.615313529968262,0.6353067814854683
GZMK,1.728506326675415,9.613618850708008,0.26221743810548975
CTSD,3.6852920055389404,9.608925819396973,0.6503767491926803
RGS2,2.270775079727173,9.597031593322754,0.404951560818084
ANXA1,2.533493995666504,9.595827102661133,0.4413347685683531
LCK,2.3805689811706543,9.565933227539062,0.40559741657696446
HSPA1B,2.345820903778076,9.5355863571167,0.4228202368137783
CST7,2.0308480262756348,9.527596473693848,0.32831001076426264
UCP2,2.913057565689087,9.495640754699707,0.5330462863293864
S100A11,3.599174976348877,9.489959716796875,0.6096878363832078
CST3,2.266477346420288,9.469834327697754,0.38665231431646935
GZMA,1.7154946327209473,9.437084197998047,0.25554359526372444
CD48,2.505486011505127,9.42831802368164,0.42970936490850375
SAT1,4.535772800445557,9.389335632324219,0.753713670613563
DNAJB1,4.1318254470825195,9.377915382385254,0.7379978471474704
TPI1,4.27280855178833,9.309769630432129,0.7046286329386438
LDHA,4.423698902130127,9.26335620880127,0.7407965554359527
NME2,3.6943747997283936,9.258399963378906,0.6230355220667384
H2AFZ,3.5906167030334473,9.208145141601562,0.6318622174381054
LCP1,3.2306876182556152,9.203646659851074,0.5956942949407965
JUNB,4.626051425933838,9.158446311950684,0.7896663078579117
MIF,5.400136470794678,9.136314392089844,0.8049515608180839
DDIT4,3.5174317359924316,9.091675758361816,0.6344456404736275
NPC2,2.6627020835876465,9.037558555603027,0.4738428417653391
